Customer ID,Age,Gender,Item Purchased,Category,Purchase Amount (USD),Size,Color,Season,Review Rating,Subscription Status,Discount Applied,Previous Purchases
0,1,55,Male,Blouse,Clothing,53,L,Gray,Winter,3.1,Yes,Yes,14
1,2,19,Male,Sweater,Clothing,64,L,Maroon,Winter,3.1,Yes,Yes,2
2,3,50,Male,Jeans,Clothing,73,S,Maroon,Spring,3.1,Yes,Yes,23
3,4,21,Male,Sandals,Footwear,90,M,Maroon,Spring,3.5,Yes,Yes,49
4,5,45,Male,Blouse,Clothing,49,M,Turquoise,Spring,2.7,Yes,Yes,31
5,6,46,Male,Sneakers,Footwear,20,M,White,Summer,2.9,Yes,Yes,14
6,7,63,Male,Shirt,Clothing,85,M,Gray,Fall,3.2,Yes,Yes,49
7,8,27,Male,Shorts,Clothing,34,L,Charcoal,Winter,3.2,Yes,Yes,19
8,9,26,Male,Coat,Outerwear,97,L,Silver,Summer,2.6,Yes,Yes,8
9,10,57,Male,Handbag,Accessories,31,M,Pink,Spring,4.8,Yes,Yes,4
10,11,53,Male,Shoes,Footwear,34,L,Purple,Fall,4.1,Yes,Yes,26
11,12,30,Male,Shorts,Clothing,68,S,Olive,Winter,4.9,Yes,Yes,10
12,13,61,Male,Coat,Outerwear,72,M,Gold,Winter,4.5,Yes,Yes,37
13,14,65,Male,Dress,Clothing,51,M,Violet,Spring,4.7,Yes,Yes,31
14,15,64,Male,Coat,Outerwear,53,L,Teal,Winter,4.7,Yes,Yes,34
15,16,64,Male,Skirt,Clothing,81,M,Teal,Winter,2.8,Yes,Yes,8
16,17,25,Male,Sunglasses,Accessories,36,S,Gray,Spring,4.1,Yes,Yes,44
17,18,53,Male,Dress,Clothing,38,XL,Lavender,Winter,4.7,Yes,Yes,36
18,19,52,Male,Sweater,Clothing,48,S,Black,Summer,4.6,Yes,Yes,17
19,20,66,Male,Pants,Clothing,90,M,Green,Summer,3.3,Yes,Yes,46
20,21,21,Male,Pants,Clothing,51,M,Black,Winter,2.8,Yes,Yes,50
21,22,31,Male,Pants,Clothing,62,M,Charcoal,Winter,4.1,Yes,Yes,22
22,23,56,Male,Pants,Clothing,37,M,Peach,Summer,3.2,Yes,Yes,32
23,24,31,Male,Pants,Clothing,88,XL,White,Winter,4.4,Yes,Yes,40
24,25,18,Male,Jacket,Outerwear,22,M,Green,Fall,2.9,Yes,Yes,16
25,26,18,Male,Hoodie,Clothing,25,M,Silver,Summer,3.6,Yes,Yes,14
26,27,38,Male,Jewelry,Accessories,20,M,Red,Spring,3.6,Yes,Yes,13
27,28,56,Male,Shorts,Clothing,56,L,Cyan,Summer,5.0,Yes,Yes,7
28,29,54,Male,Handbag,Accessories,94,M,Gray,Fall,4.4,Yes,Yes,41
29,30,31,Male,Dress,Clothing,48,S,Black,Fall,4.1,Yes,Yes,14
30,31,57,Male,Jewelry,Accessories,31,L,Black,Winter,4.7,Yes,Yes,16
31,32,33,Male,Dress,Clothing,79,L,Brown,Winter,4.7,Yes,Yes,45
32,33,36,Male,Jacket,Outerwear,67,M,Silver,Summer,4.9,Yes,Yes,37
33,34,54,Male,Pants,Clothing,38,L,Green,Summer,3.3,Yes,Yes,45
34,35,36,Male,T-shirt,Clothing,91,L,Violet,Spring,4.6,Yes,Yes,38
35,36,54,Male,Blouse,Clothing,33,M,Cyan,Summer,4.0,Yes,Yes,48
36,37,35,Male,T-shirt,Clothing,69,M,Maroon,Winter,4.6,Yes,Yes,44
37,38,35,Male,Jeans,Clothing,45,S,Cyan,Summer,2.8,Yes,Yes,10
38,39,29,Male,Dress,Clothing,37,M,Red,Winter,3.7,Yes,Yes,44
39,40,70,Male,Pants,Clothing,60,S,Turquoise,Summer,4.2,Yes,Yes,18
40,41,69,Male,Handbag,Accessories,76,L,Beige,Winter,4.6,Yes,Yes,31
41,42,67,Male,Scarf,Accessories,39,M,Orange,Spring,4.5,Yes,Yes,40
42,43,20,Male,Coat,Outerwear,100,M,Beige,Spring,4.1,Yes,Yes,15
43,44,25,Male,Scarf,Accessories,69,L,Lavender,Fall,3.7,Yes,Yes,19
44,45,39,Male,Hat,Accessories,53,S,Silver,Summer,4.6,Yes,Yes,45
45,46,50,Male,Socks,Clothing,21,XL,Indigo,Fall,2.9,Yes,Yes,25
46,47,57,Male,Shirt,Clothing,43,L,White,Summer,2.9,Yes,Yes,45
47,48,55,Male,Jewelry,Accessories,54,M,Charcoal,Winter,4.5,Yes,Yes,36
48,49,42,Male,Shirt,Clothing,55,M,Orange,Summer,2.7,Yes,Yes,38
49,50,68,Male,Hoodie,Clothing,30,S,Indigo,Spring,4.6,Yes,Yes,34
50,51,49,Male,Blouse,Clothing,28,M,Red,Spring,3.7,Yes,Yes,39
51,52,59,Male,Skirt,Clothing,59,XL,Gray,Winter,4.7,Yes,Yes,7
52,53,42,Male,T-shirt,Clothing,20,M,Green,Summer,2.6,Yes,Yes,26
53,54,29,Male,Skirt,Clothing,24,S,Peach,Winter,3.9,Yes,Yes,35
54,55,47,Male,Coat,Outerwear,94,M,Brown,Summer,4.2,Yes,Yes,35
55,56,40,Male,Jacket,Outerwear,28,M,Lavender,Winter,3.0,Yes,Yes,49
56,57,41,Male,Backpack,Accessories,73,XL,Brown,Summer,4.7,Yes,Yes,46
57,58,21,Male,Coat,Outerwear,64,M,White,Summer,4.4,Yes,Yes,17
58,59,69,Male,Hoodie,Clothing,54,M,Charcoal,Summer,4.2,Yes,Yes,29
59,60,63,Male,Belt,Accessories,79,L,Yellow,Spring,4.6,Yes,Yes,4
60,61,50,Male,Sweater,Clothing,37,L,Brown,Summer,4.0,Yes,Yes,17
61,62,55,Male,Scarf,Accessories,68,M,Orange,Winter,4.7,Yes,Yes,21
62,63,30,Male,Sneakers,Footwear,21,S,Magenta,Spring,3.8,Yes,Yes,31
63,64,33,Male,Sunglasses,Accessories,79,L,Lavender,Winter,2.7,Yes,Yes,43
64,65,65,Male,Boots,Footwear,83,S,Green,Fall,4.8,Yes,Yes,18
65,66,65,Male,Backpack,Accessories,36,M,Purple,Spring,4.8,Yes,Yes,44
66,67,31,Male,Blouse,Clothing,94,S,Magenta,Winter,4.7,Yes,Yes,3
